Date,Member,Company,Project,Location,Department,Service #,Hours,Notes,Billable
09/05/2023 00:00,AForster,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903383,0.05,"I reviewed the notes on the ticket, and decided that before I call the client, I need to establish how their emergency addresses are setup in the Teams Admin Centre.",Billable
09/05/2023 00:00,MAversano,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,895916,0.15,"Good morning Sneha,  I've taken over this case as my colleague, JD, is presently out of office.  After reviewing the notes he left, I see a fix has been implemented, and that you were to ship your laptop to the manufacturer to receive a warranty repair, to be followed up on in around two weeks.  Just wanted to check in with you to ensure that you have received the laptop back, and that all is well with you. If this is still an issue for you, or if you're experiencing any other trouble, please do let me know and I'll be happy to help.  Kind regards, Morgan",Billable
09/05/2023 00:00,MAversano,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,895916,0.02,"Next Steps: Check in with Sneha and ensure all is well. If not, troubleshoot further. Budget Required: 1 hour",Billable
09/05/2023 00:00,AForster,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903383,0.07,"I called Richard to speak to him about the setup of the emergency addresses. However, he asked to postpone the discussion to 4ish. I'll put this ticket on-hold for now.",Billable
09/05/2023 00:00,AForster,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903554,0.12,"Hello Dan,  I tried to call you but I couldn't reach you. I was hoping to get your input on the issue, as the key issue that is affecting the performance of Ben Michael's machine, is its poor amount of memory that it has available. As there is little we can do to improve the performance of the machine with those limits, I recommended that the machine be replaced with at least 8 GB of memory. I will be closing this ticket now, but if you have any questions, please let me know.  Many Thanks, Alex Forster",Billable
09/05/2023 00:00,AForster,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903383,0.07,"I called Richard and spoke to him about the issue. After confirming that he knows how the emergency addresses work, we agreed to leave this with him, and check back on Friday.",Billable
05/05/2023 00:00,AForster,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903554,0.35,"I called Ben and I took a look at the issue. It seems that the main cause of the issue issue is the poor specs of the PC... [image]  [image] Unfortunately, I couldn't get an exact age for the laptop, as the Acer warranty check would not recognise the laptop's serial number. However, considering the processor that it has, it is at most, 5 years old. I decided to ensure that all of the latest Windows updates and Acer updates are running, before I left. Realistically, we can try to reinstall Teams, but we won't be able to escape the performance issues on this laptop with these current specs.  I told Ben that I would speak to Dan Chester about this issue.",Billable
05/05/2023 00:00,AForster,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903554,0.17,"Hello Dan,  I tried to call you but I couldn't reach you. I've been helping Ben Michael with performance issues that he has reported on his PC. Unfortunately, after taking a look at the issue, it seems that the biggest bottle neck on its performance is the lack of memory. At the moment, his machine, DESKTOP-4F9QQG5 (SN: NXGZRSM002839006766600) only has 4 GB of RAM. The lack of memory will mean that he is limited in how many applications and tabs in his web browser that he can have open at one time, and it will also cause his applications to occasionally freeze up.  For now, I've done what I can to keep the machine up to date and advised that he runs the minimal amount of apps/tabs at one time. The laptop is still usable, but these performance issues will likely persist. I would advise that the best course of action would be to provide a laptop that has at least 8 GB of memory. If you have any questions, please let me know. Otherwise, I will close this ticket next week.  Many Thanks, Alex Forster",Billable
05/05/2023 00:00,lsargent,Wilbury Stratton Consultants Ltd,,Trident Head Office,Management,913664,0.02,"Hello,  I hope you are well.  Can you please advise of a payment date for the overdue invoice - 217218 for £1,020.00?  Many thanks, Lucy",Non-Billable
04/05/2023 00:00,JMejia,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,895916,0,Unable to follow up Client on support block,Billable
04/05/2023 00:00,JMejia,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903383,0,Unable to follow up Client on support block,Billable
04/05/2023 00:00,LFeingold,Wilbury Stratton Consultants Ltd,,Trident Head Office,Business Operations,913168,0.27,bm to approve,Non-Billable
04/05/2023 00:00,LFeingold,Wilbury Stratton Consultants Ltd,,Trident Head Office,Business Operations,913168,0.38,added hours applied some tickets invoiced removed from support block let STL know,Non-Billable
04/05/2023 00:00,AForster,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903554,0.12,"Hello Ben,  I tried to call you but I couldn't reach you. I would like to see if I can take a look at your issue, regarding the performance issues with the recently setup laptop that you're using. Based on your email signature, your phone number's country code is based in Australia. If you're based in Australia, please let me know. Otherwise, when you're free, could you give us a call on +441273 662777 and ask for me, Alex.  Many Thanks, Alex Forster",Billable
04/05/2023 00:00,JoePacker,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,911951,0.05,This device is offline will check back later [image] ,Billable
04/05/2023 00:00,JMejia,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,895916,0.02,"Reason for Referral: I will be on holiday from Friday to Wednesday How Urgent: P3 Confirm Budget: Yes Client updated: Yes Next Steps: Follow up with the client  Manage the client expectations, there may not be someone available straight away",Billable
04/05/2023 00:00,JMejia,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903383,0.02,"Reason for Referral: I will be on holiday from Friday to Wednesday How Urgent: P3 Confirm Budget: Yes Client updated: Yes Next Steps: Follow up with the client  Manage the client expectations, there may not be someone available straight away",Billable
03/05/2023 00:00,JoePacker,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,911951,0.17,Not able to load Sentinel agent stop during an update. [image] Deleted SentinelOne folder and run again [image] Device is offline will check back later [image] ,Billable
03/05/2023 00:00,JNRPacker,Wilbury Stratton Consultants Ltd,Continuous Development Programme,Trident Head Office,Technical,869879,0,Please book JBrito for 1 day remote.,Billable
03/05/2023 00:00,JNRPacker,Wilbury Stratton Consultants Ltd,Continuous Development Programme,Trident Head Office,Technical,869880,0,Please book JBrito 1 day remote,Billable
03/05/2023 00:00,JMejia,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,895916,0.03,Unable to follow up Client on support block,Billable
03/05/2023 00:00,JMejia,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903383,0.05,Unable to follow up Client on support block,Billable
28/04/2023 00:00,CHarvey,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,911272,0.02,This is now resolved,Billable
28/04/2023 00:00,MAversano,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903554,0.03,"Reason for Referral: Annual leave till 09/05 How Urgent: P3 Confirm Budget: OK Client updated: Cannot, support block   Next steps: Must refer this in case Wilbury Stratton comes off Support Block while I'm away.  Please note another engineer resolved this already, just need to check in and make sure they're okay (when off Support Block).",Billable
28/04/2023 00:00,JBrito,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,880875,0.02,Jnr and BM have a call booked for this whilst I am on annual leave so will pick this back up with them after A/L,Billable
28/04/2023 00:00,JMejia,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903383,0.02,Unable to follow up Client on support block,Billable
28/04/2023 00:00,JMejia,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,895916,0.02,Unable to follow up Client on support block,Billable
26/04/2023 00:00,JMejia,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,895916,0,Unable to follow up Client on support block,Billable
26/04/2023 00:00,JMejia,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903383,0.02,Unable to follow up Client on support block,Billable
25/04/2023 00:00,lsargent,Wilbury Stratton Consultants Ltd,,Trident Head Office,Management,905336,0,"Hello,  Please be advised that the account is due to go on hold at the end of today due to unpaid invoices.  Please advise ASAP.  Regards, Lucy",Non-Billable
19/04/2023 00:00,CSelwyn,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,908003,0,"Hi Kacie,  I can confirm your ticket has been assigned to an engineer.  Thanks,  Charlie",Billable
18/04/2023 00:00,JBrito,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,880875,0.5,Replying to Kacie's email,Billable
17/04/2023 00:00,MAversano,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903554,0.08,Searching previous tickets:  Service Ticket #903712 - Heavily lagging Laptop - post trident installation (Wilbury Stratton)  Apparently someone has already actioned this... Will wait and follow-up once off support block...,Billable
17/04/2023 00:00,lsargent,Wilbury Stratton Consultants Ltd,,Trident Head Office,Management,905336,0.02,"Hello,  Please advise of a payment date for the overdue invoices ASAP to avoid any holds being placed on your account due to the age of the debt.  Regards, Lucy",Non-Billable
14/04/2023 00:00,JSaliba,Wilbury Stratton Consultants Ltd,Continuous Development Programme,Trident Head Office,Technical,880551,3.73,"Documented InTune policies and read up on Update Rings.  Created new update ring on InTune, but havent applied it to any groups yet.",Billable
13/04/2023 00:00,JMejia,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,895916,0,Unable to follow up Client on support block,Billable
13/04/2023 00:00,JMejia,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903383,0.02,Unable to follow up Client on support block,Billable
13/04/2023 00:00,JBrito,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,880875,0.22,Reviewed progress of changes yesterday - looking good,Billable
13/04/2023 00:00,JSaliba,Wilbury Stratton Consultants Ltd,Continuous Development Programme,Trident Head Office,Technical,880551,3.83,"Looked through InTune and setup AutoPilot profile. Tried to test with an Azure VM, but I couldnt see the screen to sign in as a user, so I removed the VM.  -------------------------------------------------------------------------------------------------------------------------------------------------------------------  Put together a list of applications to add to InTune.",Billable
13/04/2023 00:00,JSaliba,Wilbury Stratton Consultants Ltd,Continuous Development Programme,Trident Head Office,Technical,880551,1.92,"Added the following apps to Intune ready for testing.  Chrome KeePass 365 Apps Zoom  I couldnt add Teamviewer host, as this needs a login to get the MSI. ",Billable
13/04/2023 00:00,JSaliba,Wilbury Stratton Consultants Ltd,Continuous Development Programme,Trident Head Office,Technical,880551,1.17,"I looked into the OneDrive profile issues where some devices werent moving folders into one drive automatically.  We dont have a list of devices that were experiencing this issue, but there are 4 devices with errors for the OneDrive profile. 3 of these devices were marked as personal, so it could be that the devices were using OneDrive and not OneDrive for business.",Billable
12/04/2023 00:00,MAversano,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903554,0.02,"Unfortunately, client is still on support block. Unable to follow up until sales information is acquired.",Billable
12/04/2023 00:00,RCustodio,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903712,0.02, [image] ,Billable
12/04/2023 00:00,RCustodio,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903712,0.03,"Hi Ben,  Good day!  Thank you for your time yesterday. We are closing the ticket from our end. Thanks for your patience! If you have any further questions, please feel free to contact us on 01273662777.    We would be more than happy to help you!   Thank you for contacting Trident Support.   Ron Custodio",Billable
12/04/2023 00:00,lsargent,Wilbury Stratton Consultants Ltd,,Trident Head Office,Management,905336,0.02,"Hello,  I hope you are well.  Can you please advise on a payment date for the overdue invoices - 216543, 216647, 216780 & 217108 - total £5,676.00?  Many thanks, Lucy",Non-Billable
12/04/2023 00:00,AForster,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,905181,0.22,I took a look at the past 7 days of emails from Susie Turpin (susie.turpin@impbrands.com) and found the following results in Mimecast's Message Tracking... [image] None of this seems to suggest that it is being blocked. I'll have to speak to the client to find out.,Billable
12/04/2023 00:00,AForster,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,905181,0.08,"I called Zoe and she confirmed that the issue has only happened twice to her, with the last occurrence being yesterday, at around 18:57. The email she received from Mimecast does provide extra details so I asked her to forward the email to me.",Billable
12/04/2023 00:00,JBrito,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,880875,2.02,Call with Euan and Jnr Call with both and clients Agreed to remove everything but S1 and MPS core agent and test so did this as having issues,Billable
11/04/2023 00:00,JMejia,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903383,0.1,Reviewed notes from the ticket Picked it up from the Unassigned Client is on support block I will call Kacie & Richard later today once they already have a budget for this ticket,Billable
11/04/2023 00:00,RCustodio,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903712,0.07,"Hi Ben,   Good morning!  That's ok no problem we understand. We can do it now if you are free just let me know.  Thank you,  Ron Custodio",Billable
11/04/2023 00:00,RCustodio,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903712,0.03,"Hi Ben,  I tried to dial this number 01273 741300 but no one answer. Can I ask you mobile number please?  Thank you,  Ron Custodio",Billable
11/04/2023 00:00,MHannagan,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,904627,0, [image] ,Billable
11/04/2023 00:00,RCustodio,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903712,0.28,Call Ben ask for remote session  Please see below steps of my resolutions.   1. Run Disk clean-up 2. Windows update 3. Run check disk ( Chkdsk /r /f c: )  4.  Taskkill 5.  Restart the device  Note: Device RAM only 4GB,Billable
11/04/2023 00:00,YBell,Wilbury Stratton Consultants Ltd,,Trident Head Office,Sales,904765,0.23,quote done and sent to customer ,Non-Billable
11/04/2023 00:00,RCustodio,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903712,0.38,"Hi Ben,  Thank you for answering my call a while ago.  I performed disk clean-up, windows update, check disk and run CCleaner in your device.  I hope that help the performance but I would like to suggest to increase the RAM size.   Thank you,  Ron Custodio  ",Billable
06/04/2023 00:00,SWheeler,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903383,0.03,"Reason for Referral: I'm onsite the whole of next week and client is currently on support block How Urgent: p3 Confirm Budget: 2 Client updated:  Manage the client expectations, there may not be someone available straight away  Next steps:  Phone Richard Dale to clarify what needs updating as screenshot is unclear  Either walk him through how to update once understood or he is happy for us to make changes ",Billable
05/04/2023 00:00,CHarvey,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,896462,0.02,"Hello,   I will be closing this ticket after lack of response. However, this should now be working and you should have the dial pas int he ""Calls"" section of your teams.   Please let us know of any issues.   Many thanks, Conor",Billable
05/04/2023 00:00,CSelwyn,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903383,0.02,"Hi Kacie,  I can confirm your ticket has been assigned to an engineer.  Thanks,  Charlie",Billable
05/04/2023 00:00,SWheeler,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903383,0.08,"Good morning Kacie  I hope you are well and thank you for contacting support.   Please could you send over a list of users.   We should be able to change this, here's an example user in the tenant.   [image]  We'd recommend keeping the address probably within alias' as a secondary address for example, in case emails come through to the old address, the user will still receive on updated one.   Many thanks Sophie",Billable
05/04/2023 00:00,SWheeler,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903383,0.03,"Hi Kacie   Thank you for getting back to me so promptly.   Apologies, I cannot see the screenshot, are you able to send through again? I can see attachments on the ticket but when opening it shows as no data available.  Many thanks Sophie ",Billable
05/04/2023 00:00,CSelwyn,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903554,0.02,"Hi Ben,  I can confirm your ticket has been assigned to an engineer.  Thanks,  Charlie",Billable
05/04/2023 00:00,MAversano,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903554,0.03, [image] Support block. Must wait for sales information before actioning.,Billable
